team,teamInnings,inning,position,batsman,dismissal,runs,balls,M,4s,6s,SR,out/not_out,id
Namibia VS Sri Lanka,Namibia,Inning1,1,Michael van Lingen,c Pramod Madushan b Chameera,3,6,7,0,0,50.0,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,2,Divan la Cock,c Shanaka b Pramod Madushan,9,9,15,1,0,100.0,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,3,Jan Nicol Loftie-Eaton,c Mendis b Karunaratne,20,12,18,1,2,166.66,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,4,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,49,2,0,108.33,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,5,Gerhard Erasmus(c),c Gunathilaka b PWH de Silva,20,24,30,0,0,83.33,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,6,Jan Frylinck,run out (Gunathilaka/Mendis),44,28,44,4,0,157.14,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,7,David Wiese,c Mendis b Theekshana,0,1,4,0,0,0.0,out,T20I # 1823
Namibia VS Sri Lanka,Namibia,Inning1,8,JJ Smit,not out,31,16,29,2,2,193.75,not out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,1,Pathum Nissanka,c Smit b Shikongo,9,10,16,1,0,90.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,2,Kusal Mendis,c Green b Wiese,6,6,8,0,0,100.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,3,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,25,1,0,109.09,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,4,Danushka Gunathilaka,c Green b Shikongo,0,1,2,0,0,0.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,5,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,39,2,0,95.23,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,6,Dasun Shanaka(c),c Green b Frylinck,29,23,37,2,1,126.08,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,7,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,9,0,0,50.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,8,Chamika Karunaratne,c Baard b Smit,5,8,15,0,0,62.5,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,9,Pramod Madushan,run out (van Lingen/Green),0,0,4,0,0,0.0,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,10,Dushmantha Chameera,c Erasmus b Wiese,8,15,20,0,0,53.33,out,T20I # 1823
Namibia VS Sri Lanka,Sri Lanka,Inning2,11,Maheesh Theekshana,not out,11,11,14,0,1,100.0,not out,T20I # 1823
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,1,Chirag Suri,c Edwards b van der Merwe,12,20,28,1,0,60.0,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,2,Muhammad Waseem,c Pringle b Klaassen,41,47,71,1,2,87.23,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,3,Kashif Daud,b Pringle,15,14,19,0,1,107.14,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,4,Vriitya Aravind,c Klaassen b de Leede,18,21,37,0,0,85.71,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,5,Zawar Farid,run out (Ackermann/Edwards),2,4,8,0,0,50.0,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,6,Basil Hameed,c van der Merwe b de Leede,4,4,7,1,0,100.0,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,7,Chundangapoyil Rizwan(c),b de Leede,1,2,7,0,0,50.0,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,8,Aayan Afzal Khan,c Cooper b Klaassen,5,7,8,0,0,71.42,out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,9,Karthik Meiyappan,not out,0,0,4,0,0,0.0,not out,T20I # 1825
United Arab Emirates VS Netherlands,United Arab Emirates,Inning1,10,Junaid Siddique,not out,0,1,1,0,0,0.0,not out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,1,Vikramjit Singh,b Basil Hameed,10,7,8,2,0,142.85,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,2,Max O'Dowd,b Junaid Siddique,23,18,25,3,1,127.77,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,3,Bas de Leede,c Rizwan b Meiyappan,14,18,37,1,0,77.77,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,4,Colin Ackermann,c Junaid Siddique b Aayan Afzal Khan,17,19,33,1,0,89.47,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,5,Tom Cooper,lbw b Junaid Siddique,8,16,22,0,0,50.0,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,6,Scott Edwards(c),not out,16,19,42,0,0,84.21,not out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,7,Roelof van der Merwe,b Junaid Siddique,0,2,4,0,0,0.0,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,8,Tim Pringle,b Zahoor Khan,15,16,26,0,0,93.75,out,T20I # 1825
United Arab Emirates VS Netherlands,Netherlands,Inning2,9,Logan van Beek,not out,4,4,7,0,0,100.0,not out,T20I # 1825
Scotland VS West Indies,Scotland,Inning1,1,George Munsey,not out,66,53,106,9,0,124.52,not out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,2,Michael Jones,b Holder,20,17,36,3,0,117.64,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,3,Matthew Cross,c Brooks b Holder,3,5,10,0,0,60.0,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,4,Richie Berrington(c),c Mayers b Joseph,16,14,21,0,1,114.28,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,5,Calum MacLeod,c King b Smith,23,14,15,4,0,164.28,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,6,Michael Leask,b Joseph,4,6,8,0,0,66.66,out,T20I # 1826
Scotland VS West Indies,Scotland,Inning1,7,Chris Greaves,not out,16,11,19,2,0,145.45,not out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,1,Kyle Mayers,c Munsey b Davey,20,13,12,3,1,153.84,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,2,Evin Lewis,c Jones b Wheal,14,13,30,1,1,107.69,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,3,Brandon King,b Watt,17,15,24,3,0,113.33,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,4,Nicholas Pooran(c),b Leask,5,9,14,0,0,55.55,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,5,Shamarh Brooks,c Leask b Wheal,4,9,24,0,0,44.44,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,6,Rovman Powell,c MacLeod b Leask,5,6,12,0,0,83.33,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,7,Jason Holder,c Greaves b Sharif,38,33,37,4,1,115.15,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,8,Akeal Hosein,run out (Cross/Leask),1,1,4,0,0,100.0,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,9,Alzarri Joseph,c Cross b Watt,0,1,4,0,0,0.0,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,10,Odean Smith,c Greaves b Watt,5,8,14,0,0,62.5,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,11,Obed McCoy,not out,2,3,10,0,0,66.66,not out,T20I # 1826
Zimbabwe VS Ireland,Zimbabwe,Inning1,1,Regis Chakabva,c Tucker b Little,0,2,3,0,0,0.0,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,2,Craig Ervine(c),st Tucker b Simi Singh,9,12,28,1,0,75.0,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,3,Wessly Madhevere,c Delany b Little,22,19,22,4,0,115.78,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,4,Sean Williams,c Tector b Simi Singh,12,11,24,0,1,109.09,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,5,Sikandar Raza,b Adair,82,48,72,5,5,170.83,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,6,Milton Shumba,c Little b Adair,16,14,26,1,0,114.28,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,7,Ryan Burl,c Adair b Little,1,4,9,0,0,25.0,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,8,Luke Jongwe,not out,20,10,14,3,0,200.0,not out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,1,Paul Stirling,b Ngarava,0,2,3,0,0,0.0,out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,2,Andy Balbirnie(c),c Ervine b Muzarabani,3,4,20,0,0,75.0,out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,3,Lorcan Tucker,b Ngarava,11,11,10,2,0,100.0,out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,4,Harry Tector,c Ervine b Muzarabani,1,4,5,0,0,25.0,out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,5,Curtis Campher,b Williams,27,22,41,1,0,122.72,out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,6,George Dockrell,b Sikandar Raza,24,20,25,3,0,120.0,out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,7,Gareth Delany,c Shumba b Chatara,24,20,23,1,1,120.0,out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,8,Mark Adair,c Sikandar Raza b Muzarabani,9,10,18,0,1,90.0,out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,9,Simi Singh,b Chatara,0,1,1,0,0,0.0,out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,10,Barry McCarthy,not out,22,16,23,1,2,137.5,not out,T20I # 1828
Zimbabwe VS Ireland,Ireland,Inning2,11,Josh Little,not out,7,11,17,1,0,63.63,not out,T20I # 1828
Namibia VS Netherlands,Namibia,Inning1,1,Michael van Lingen,c de Leede b Ackermann,20,19,20,3,0,105.26,out,T20I # 1830
Namibia VS Netherlands,Namibia,Inning1,2,Divan la Cock,c de Leede b Pringle,0,2,5,0,0,0.0,out,T20I # 1830
Namibia VS Netherlands,Namibia,Inning1,3,Stephan Baard,c Klaassen b van der Merwe,19,22,46,0,0,86.36,out,T20I # 1830
Namibia VS Netherlands,Namibia,Inning1,4,Jan Nicol Loftie-Eaton,c Edwards b van Meekeren,0,2,3,0,0,0.0,out,T20I # 1830
Namibia VS Netherlands,Namibia,Inning1,5,Jan Frylinck,c van Meekeren b de Leede,43,48,63,1,1,89.58,out,T20I # 1830
Namibia VS Netherlands,Namibia,Inning1,6,Gerhard Erasmus(c),b de Leede,16,18,37,0,0,88.88,out,T20I # 1830
Namibia VS Netherlands,Namibia,Inning1,7,David Wiese,not out,11,5,8,1,0,220.0,not out,T20I # 1830
Namibia VS Netherlands,Namibia,Inning1,8,JJ Smit,not out,5,4,6,1,0,125.0,not out,T20I # 1830
Namibia VS Netherlands,Netherlands,Inning2,1,Max O'Dowd,run out (Erasmus),35,35,59,1,1,100.0,out,T20I # 1830
Namibia VS Netherlands,Netherlands,Inning2,2,Vikramjit Singh,c Loftie-Eaton b Scholtz,39,31,37,3,2,125.8,out,T20I # 1830
Namibia VS Netherlands,Netherlands,Inning2,3,Bas de Leede,not out,30,30,51,2,0,100.0,not out,T20I # 1830
Namibia VS Netherlands,Netherlands,Inning2,4,Tom Cooper,c van Lingen b Smit,6,6,7,1,0,100.0,out,T20I # 1830
Namibia VS Netherlands,Netherlands,Inning2,5,Colin Ackermann,c Erasmus b Smit,0,2,2,0,0,0.0,out,T20I # 1830
Namibia VS Netherlands,Netherlands,Inning2,6,Scott Edwards(c),c Loftie-Eaton b Frylinck,1,5,5,0,0,20.0,out,T20I # 1830
Namibia VS Netherlands,Netherlands,Inning2,7,Tim Pringle,not out,8,9,14,0,0,88.88,not out,T20I # 1830
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,1,Pathum Nissanka,c Basil Hameed b Zahoor Khan,74,60,105,6,2,123.33,out,T20I # 1832
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,2,Kusal Mendis,lbw b Aryan Lakra,18,13,24,2,0,138.46,out,T20I # 1832
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,3,Dhananjaya de Silva,run out (Muhammad Waseem/Aayan Afzal Khan),33,21,30,3,1,157.14,out,T20I # 1832
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,4,Bhanuka Rajapaksa,c Kashif Daud b Meiyappan,5,8,19,0,0,62.5,out,T20I # 1832
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,5,Charith Asalanka,c Aravind b Meiyappan,0,1,2,0,0,0.0,out,T20I # 1832
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,6,Dasun Shanaka(c),b Meiyappan,0,1,2,0,0,0.0,out,T20I # 1832
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,7,Wanindu Hasaranga de Silva,c Basil Hameed b Aayan Afzal Khan,2,3,3,0,0,66.66,out,T20I # 1832
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,8,Chamika Karunaratne,c Kashif Daud b Zahoor Khan,8,11,22,1,0,72.72,out,T20I # 1832
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,9,Pramod Madushan,not out,1,1,4,0,0,100.0,not out,T20I # 1832
Sri Lanka VS United Arab Emirates,Sri Lanka,Inning1,10,Dushmantha Chameera,not out,1,1,2,0,0,100.0,not out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,1,Muhammad Waseem,b Chameera,2,4,13,0,0,50.0,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,2,Chirag Suri,b Pramod Madushan,14,19,31,3,0,73.68,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,3,Aryan Lakra,b Chameera,1,3,4,0,0,33.33,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,4,Chundangapoyil Rizwan(c),c Rajapaksa b Chameera,1,3,8,0,0,33.33,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,5,Vriitya Aravind,lbw b PWH de Silva,9,18,26,1,0,50.0,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,6,Basil Hameed,c DM de Silva b Shanaka,2,6,14,0,0,33.33,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,7,Aayan Afzal Khan,b PWH de Silva,19,21,33,1,0,90.47,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,8,Kashif Daud,lbw b PWH de Silva,0,4,8,0,0,0.0,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,9,Karthik Meiyappan,st Mendis b Theekshana,4,8,11,0,0,50.0,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,10,Junaid Siddique,c Nissanka b Theekshana,18,16,22,1,1,112.5,out,T20I # 1832
Sri Lanka VS United Arab Emirates,United Arab Emirates,Inning2,11,Zahoor Khan,not out,1,1,15,0,0,100.0,not out,T20I # 1832
Scotland VS Ireland,Scotland,Inning1,1,George Munsey,lbw b Adair,1,2,9,0,0,50.0,out,T20I # 1833
Scotland VS Ireland,Scotland,Inning1,2,Michael Jones,c Adair b Little,86,55,95,6,4,156.36,out,T20I # 1833
Scotland VS Ireland,Scotland,Inning1,3,Matthew Cross,c McCarthy b Campher,28,21,33,5,0,133.33,out,T20I # 1833
Scotland VS Ireland,Scotland,Inning1,4,Richie Berrington(c),c Dockrell b Campher,37,27,39,3,1,137.03,out,T20I # 1833
Scotland VS Ireland,Scotland,Inning1,5,Michael Leask,not out,17,13,19,2,0,130.76,not out,T20I # 1833
Scotland VS Ireland,Scotland,Inning1,6,Calum MacLeod,run out (Tucker),0,3,6,0,0,0.0,out,T20I # 1833
Scotland VS Ireland,Ireland,Inning2,1,Paul Stirling,c Cross b Sharif,8,10,22,1,0,80.0,out,T20I # 1833
Scotland VS Ireland,Ireland,Inning2,2,Andy Balbirnie(c),c Jones b Wheal,14,12,15,2,0,116.66,out,T20I # 1833
Scotland VS Ireland,Ireland,Inning2,3,Lorcan Tucker,c Davey b Watt,20,17,28,2,0,117.64,out,T20I # 1833
Scotland VS Ireland,Ireland,Inning2,4,Harry Tector,c Greaves b Leask,14,16,23,1,0,87.5,out,T20I # 1833
Scotland VS Ireland,Ireland,Inning2,5,Curtis Campher,not out,72,32,48,7,2,225.0,not out,T20I # 1833
Scotland VS Ireland,Ireland,Inning2,6,George Dockrell,not out,39,27,42,4,1,144.44,not out,T20I # 1833
West Indies VS Zimbabwe,West Indies,Inning1,1,Kyle Mayers,c Chakabva b Muzarabani,13,12,17,2,0,108.33,out,T20I # 1834
West Indies VS Zimbabwe,West Indies,Inning1,2,Johnson Charles,run out (Munyonga/Williams),45,36,60,3,2,125.0,out,T20I # 1834
West Indies VS Zimbabwe,West Indies,Inning1,3,Evin Lewis,c Shumba b Sikandar Raza,15,18,28,1,0,83.33,out,T20I # 1834
West Indies VS Zimbabwe,West Indies,Inning1,4,Nicholas Pooran(c),c & b Williams,7,9,10,0,0,77.77,out,T20I # 1834
West Indies VS Zimbabwe,West Indies,Inning1,5,Rovman Powell,c Ngarava b Muzarabani,28,21,40,1,2,133.33,out,T20I # 1834
West Indies VS Zimbabwe,West Indies,Inning1,6,Shamarh Brooks,lbw b Sikandar Raza,0,3,5,0,0,0.0,out,T20I # 1834
West Indies VS Zimbabwe,West Indies,Inning1,7,Jason Holder,c & b Sikandar Raza,4,3,3,0,0,133.33,out,T20I # 1834
West Indies VS Zimbabwe,West Indies,Inning1,8,Akeal Hosein,not out,23,18,31,2,0,127.77,not out,T20I # 1834
West Indies VS Zimbabwe,West Indies,Inning1,9,Odean Smith,not out,1,2,2,0,0,50.0,not out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,1,Wessly Madhevere,c Lewis b Holder,27,19,37,3,1,142.1,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,2,Regis Chakabva(c),b Joseph,13,9,14,3,0,144.44,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,3,Tony Munyonga,b Joseph,2,6,12,0,0,33.33,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,4,Sean Williams,c Pooran b McCoy,1,2,4,0,0,50.0,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,5,Sikandar Raza,c Powell b Smith,14,8,12,1,1,175.0,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,6,Milton Shumba,c Brooks b Hosein,2,9,20,0,0,22.22,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,7,Ryan Burl,lbw b Holder,17,19,30,3,0,89.47,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,8,Luke Jongwe,b Joseph,29,22,31,3,1,131.81,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,9,Richard Ngarava,b Joseph,2,6,11,0,0,33.33,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,10,Tendai Chatara,b Holder,3,8,12,0,0,37.5,out,T20I # 1834
West Indies VS Zimbabwe,Zimbabwe,Inning2,11,Blessing Muzarabani,not out,1,4,4,0,0,25.0,not out,T20I # 1834
Sri Lanka VS Netherlands,Sri Lanka,Inning1,1,Pathum Nissanka,b van Meekeren,14,21,25,0,1,66.66,out,T20I # 1835
Sri Lanka VS Netherlands,Sri Lanka,Inning1,2,Kusal Mendis,c sub (LV van Beek) b van der Gugten,79,44,94,5,5,179.54,out,T20I # 1835
Sri Lanka VS Netherlands,Sri Lanka,Inning1,3,Dhananjaya de Silva,lbw b van Meekeren,0,1,2,0,0,0.0,out,T20I # 1835
Sri Lanka VS Netherlands,Sri Lanka,Inning1,4,Charith Asalanka,c Edwards b de Leede,31,30,38,3,0,103.33,out,T20I # 1835
Sri Lanka VS Netherlands,Sri Lanka,Inning1,5,Bhanuka Rajapaksa,c Pringle b de Leede,19,13,18,2,0,146.15,out,T20I # 1835
Sri Lanka VS Netherlands,Sri Lanka,Inning1,6,Dasun Shanaka(c),c Ackermann b Klaassen,8,5,9,0,1,160.0,out,T20I # 1835
Sri Lanka VS Netherlands,Sri Lanka,Inning1,7,Wanindu Hasaranga de Silva,not out,5,4,8,0,0,125.0,not out,T20I # 1835
Sri Lanka VS Netherlands,Sri Lanka,Inning1,8,Chamika Karunaratne,not out,2,2,4,0,0,100.0,not out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,1,Max O'Dowd,not out,71,53,99,6,3,133.96,not out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,2,Vikramjit Singh,c Shanaka b Theekshana,7,14,18,0,0,50.0,out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,3,Bas de Leede,c Mendis b Kumara,14,10,12,1,1,140.0,out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,4,Colin Ackermann,c & b PWH de Silva,0,1,4,0,0,0.0,out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,5,Tom Cooper,b Theekshana,16,19,23,2,0,84.21,out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,6,Scott Edwards(c),b Fernando,21,15,16,3,0,140.0,out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,7,Tim Pringle,run out (DM de Silva),2,4,8,0,0,50.0,out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,8,Timm van der Gugten,b PWH de Silva,0,1,2,0,0,0.0,out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,9,Fred Klaassen,b PWH de Silva,3,3,5,0,0,100.0,out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,10,Paul van Meekeren,run out (Shanaka),0,0,4,0,0,0.0,out,T20I # 1835
Sri Lanka VS Netherlands,Netherlands,Inning2,11,Roelof van der Merwe,not out,0,1,14,0,0,0.0,not out,T20I # 1835
United Arab Emirates VS Namibia,United Arab Emirates,Inning1,1,Muhammad Waseem,c Trumpelmann b Shikongo,50,41,66,1,3,121.95,out,T20I # 1836
United Arab Emirates VS Namibia,United Arab Emirates,Inning1,2,Vriitya Aravind,c van Lingen b Scholtz,21,32,34,2,0,65.62,out,T20I # 1836
United Arab Emirates VS Namibia,United Arab Emirates,Inning1,3,Chundangapoyil Rizwan(c),not out,43,29,55,3,1,148.27,not out,T20I # 1836
United Arab Emirates VS Namibia,United Arab Emirates,Inning1,4,Alishan Sharafu,c Green b Wiese,4,4,10,0,0,100.0,out,T20I # 1836
United Arab Emirates VS Namibia,United Arab Emirates,Inning1,5,Basil Hameed,not out,25,14,13,2,2,178.57,not out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,1,Michael van Lingen,c Sharafu b Basil Hameed,10,8,14,1,0,125.0,out,T20I # 1836
