team,teamInnings,inning,position,batsman,dismissal,runs,balls,M,4s,6s,SR,out/not_out,id
United Arab Emirates VS Namibia,Namibia,Inning2,2,Stephan Baard,c Ahmed Raza b Junaid Siddique,4,6,9,1,0,66.66,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,3,Jan Nicol Loftie-Eaton,lbw b Basil Hameed,1,6,17,0,0,16.66,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,4,Gerhard Erasmus(c),b Meiyappan,16,18,23,2,0,88.88,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,5,Jan Frylinck,b Zahoor Khan,14,17,33,1,0,82.35,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,6,JJ Smit,run out (Meiyappan/Ahmed Raza),3,3,3,0,0,100.0,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,7,David Wiese,c Sharafu b Muhammad Waseem,55,36,65,3,3,152.77,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,8,Zane Green,b Zahoor Khan,2,3,3,0,0,66.66,out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,9,Ruben Trumpelmann,not out,25,24,43,1,1,104.16,not out,T20I # 1836
United Arab Emirates VS Namibia,Namibia,Inning2,10,Bernard Scholtz,not out,1,1,-,0,0,100.0,not out,T20I # 1836
West Indies VS Ireland,West Indies,Inning1,1,Kyle Mayers,c Tector b McCarthy,1,5,12,0,0,20.0,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,2,Johnson Charles,c Campher b Simi Singh,24,18,22,3,1,133.33,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,3,Evin Lewis,c Adair b Delany,13,18,42,0,0,72.22,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,4,Brandon King,not out,62,48,80,6,1,129.16,not out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,5,Nicholas Pooran(c),c Tector b Delany,13,11,16,0,1,118.18,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,6,Rovman Powell,c Tector b Delany,6,8,12,1,0,75.0,out,T20I # 1837
West Indies VS Ireland,West Indies,Inning1,7,Odean Smith,not out,19,12,18,1,2,158.33,not out,T20I # 1837
West Indies VS Ireland,Ireland,Inning2,1,Paul Stirling,not out,66,48,79,6,2,137.5,not out,T20I # 1837
West Indies VS Ireland,Ireland,Inning2,2,Andy Balbirnie(c),c Mayers b Hosein,37,23,34,3,3,160.86,out,T20I # 1837
West Indies VS Ireland,Ireland,Inning2,3,Lorcan Tucker,not out,45,35,46,2,2,128.57,not out,T20I # 1837
Scotland VS Zimbabwe,Scotland,Inning1,1,George Munsey,c Shumba b Ngarava,54,51,74,7,0,105.88,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,2,Michael Jones,c Sikandar Raza b Chatara,4,5,6,1,0,80.0,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,3,Matthew Cross,c Madhevere b Ngarava,1,7,15,0,0,14.28,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,4,Richie Berrington(c),c Shumba b Sikandar Raza,13,15,24,0,0,86.66,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,5,Calum MacLeod,c Jongwe b Chatara,25,26,46,1,0,96.15,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,6,Michael Leask,b Muzarabani,12,9,11,2,0,133.33,out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,7,Chris Greaves,not out,3,7,10,0,0,42.85,not out,T20I # 1838
Scotland VS Zimbabwe,Scotland,Inning1,8,Josh Davey,not out,4,3,3,0,0,133.33,not out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,1,Regis Chakabva,lbw b Wheal,4,3,3,1,0,133.33,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,2,Craig Ervine(c),c MacLeod b Watt,58,54,79,6,0,107.4,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,3,Wessly Madhevere,b Davey,0,5,8,0,0,0.0,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,4,Sean Williams,c Wheal b Leask,7,12,28,0,0,58.33,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,5,Sikandar Raza,c Cross b Davey,40,23,34,3,2,173.91,out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,6,Milton Shumba,not out,11,11,16,0,0,100.0,not out,T20I # 1838
Scotland VS Zimbabwe,Zimbabwe,Inning2,7,Ryan Burl,not out,9,5,7,1,0,180.0,not out,T20I # 1838
New Zealand VS Australia,New Zealand,Inning1,1,Finn Allen,b Hazlewood,42,16,24,5,3,262.5,out,T20I # 1839
New Zealand VS Australia,New Zealand,Inning1,2,Devon Conway,not out,92,58,106,7,2,158.62,not out,T20I # 1839
New Zealand VS Australia,New Zealand,Inning1,3,Kane Williamson(c),lbw b Zampa,23,23,48,1,1,100.0,out,T20I # 1839
New Zealand VS Australia,New Zealand,Inning1,4,Glenn Phillips,c & b Hazlewood,12,10,16,2,0,120.0,out,T20I # 1839
New Zealand VS Australia,New Zealand,Inning1,5,James Neesham,not out,26,13,19,0,2,200.0,not out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,1,David Warner,b Southee,5,6,7,1,0,83.33,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,2,Aaron Finch(c),c Williamson b Santner,13,11,20,1,1,118.18,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,3,Mitchell Marsh,c Neesham b Southee,16,12,17,2,1,133.33,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,4,Glenn Maxwell,b Sodhi,28,20,47,3,1,140.0,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,5,Marcus Stoinis,c Phillips b Santner,7,14,16,0,0,50.0,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,6,Tim David,c Neesham b Santner,11,8,12,0,1,137.5,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,7,Matthew Wade,c Conway b Ferguson,2,4,10,0,0,50.0,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,8,Pat Cummins,c Conway b Southee,21,18,27,2,1,116.66,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,9,Mitchell Starc,b Boult,4,7,13,0,0,57.14,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,10,Adam Zampa,b Boult,0,2,3,0,0,0.0,out,T20I # 1839
New Zealand VS Australia,Australia,Inning2,11,Josh Hazlewood,not out,1,1,6,0,0,100.0,not out,T20I # 1839
Afghanistan VS England,Afghanistan,Inning1,1,Hazratullah Zazai,c Livingstone b Stokes,7,17,31,1,0,41.17,out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,2,Rahmanullah Gurbaz,c Buttler b Wood,10,9,13,0,1,111.11,out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,3,Ibrahim Zadran,c Ali b Curran,32,32,41,3,1,100.0,out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,4,Usman Ghani,c Livingstone b Curran,30,30,60,3,0,100.0,out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,5,Najibullah Zadran,c Rashid b Stokes,13,11,15,0,1,118.18,out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,6,Mohammad Nabi(c),c Buttler b Wood,3,5,7,0,0,60.0,out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,7,Azmatullah Omarzai,c Stokes b Curran,8,6,11,1,0,133.33,out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,8,Rashid Khan,c Hales b Curran,0,1,2,0,0,0.0,out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,9,Mujeeb Ur Rahman,c & b Woakes,0,1,3,0,0,0.0,out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,10,Fareed Ahmad,not out,2,4,7,0,0,50.0,not out,T20I # 1840
Afghanistan VS England,Afghanistan,Inning1,11,Fazalhaq Farooqi,c Malan b Curran,0,2,3,0,0,0.0,out,T20I # 1840
Afghanistan VS England,England,Inning2,1,Jos Buttler(c),c Mujeeb Ur Rahman b Fazalhaq Farooqi,18,18,25,3,0,100.0,out,T20I # 1840
Afghanistan VS England,England,Inning2,2,Alex Hales,c Fazalhaq Farooqi b Fareed Ahmad,19,20,41,0,1,95.0,out,T20I # 1840
Afghanistan VS England,England,Inning2,3,Dawid Malan,c Mohammad Nabi b Mujeeb Ur Rahman,18,30,40,0,0,60.0,out,T20I # 1840
Afghanistan VS England,England,Inning2,4,Ben Stokes,b Mohammad Nabi,2,4,11,0,0,50.0,out,T20I # 1840
Afghanistan VS England,England,Inning2,5,Liam Livingstone,not out,29,21,34,3,0,138.09,not out,T20I # 1840
Afghanistan VS England,England,Inning2,6,Harry Brook,c Ibrahim Zadran b Rashid Khan,7,6,9,0,0,116.66,out,T20I # 1840
Afghanistan VS England,England,Inning2,7,Moeen Ali,not out,8,10,13,0,0,80.0,not out,T20I # 1840
Ireland VS Sri Lanka,Ireland,Inning1,1,Paul Stirling,c Rajapaksa b DM de Silva,34,25,45,4,1,136.0,out,T20I # 1841
Ireland VS Sri Lanka,Ireland,Inning1,2,Andy Balbirnie(c),b Kumara,1,5,7,0,0,20.0,out,T20I # 1841
Ireland VS Sri Lanka,Ireland,Inning1,3,Lorcan Tucker,b Theekshana,10,11,20,1,0,90.9,out,T20I # 1841
Ireland VS Sri Lanka,Ireland,Inning1,4,Harry Tector,c Shanaka b Fernando,45,42,59,2,1,107.14,out,T20I # 1841
Ireland VS Sri Lanka,Ireland,Inning1,5,Curtis Campher,c Asalanka b Karunaratne,2,4,6,0,0,50.0,out,T20I # 1841
Ireland VS Sri Lanka,Ireland,Inning1,6,George Dockrell,b Theekshana,14,16,25,0,0,87.5,out,T20I # 1841
Ireland VS Sri Lanka,Ireland,Inning1,7,Gareth Delany,c Karunaratne b PWH de Silva,9,6,10,1,0,150.0,out,T20I # 1841
Ireland VS Sri Lanka,Ireland,Inning1,8,Mark Adair,c Karunaratne b PWH de Silva,0,1,5,0,0,0.0,out,T20I # 1841
Ireland VS Sri Lanka,Ireland,Inning1,9,Simi Singh,not out,7,8,9,1,0,87.5,not out,T20I # 1841
Ireland VS Sri Lanka,Ireland,Inning1,10,Barry McCarthy,not out,2,2,7,0,0,100.0,not out,T20I # 1841
Ireland VS Sri Lanka,Sri Lanka,Inning2,1,Kusal Mendis,not out,68,43,68,5,3,158.13,not out,T20I # 1841
Ireland VS Sri Lanka,Sri Lanka,Inning2,2,Dhananjaya de Silva,c Tucker b Delany,31,25,35,2,1,124.0,out,T20I # 1841
Ireland VS Sri Lanka,Sri Lanka,Inning2,3,Charith Asalanka,not out,31,22,33,2,0,140.9,not out,T20I # 1841
Pakistan VS India,Pakistan,Inning1,1,Mohammad Rizwan,c Kumar b Arshdeep Singh,4,12,25,1,0,33.33,out,T20I # 1842
Pakistan VS India,Pakistan,Inning1,2,Babar Azam(c),lbw b Arshdeep Singh,0,1,10,0,0,0.0,out,T20I # 1842
Pakistan VS India,Pakistan,Inning1,3,Shan Masood,not out,52,42,101,5,0,123.8,not out,T20I # 1842
Pakistan VS India,Pakistan,Inning1,4,Iftikhar Ahmed,lbw b Mohammed Shami,51,34,43,2,4,150.0,out,T20I # 1842
Pakistan VS India,Pakistan,Inning1,5,Shadab Khan,c Yadav b Pandya,5,6,6,1,0,83.33,out,T20I # 1842
Pakistan VS India,Pakistan,Inning1,6,Haider Ali,c Yadav b Pandya,2,4,6,0,0,50.0,out,T20I # 1842
Pakistan VS India,Pakistan,Inning1,7,Mohammad Nawaz,c Karthik b Pandya,9,6,12,2,0,150.0,out,T20I # 1842
Pakistan VS India,Pakistan,Inning1,8,Asif Ali,c Karthik b Arshdeep Singh,2,3,6,0,0,66.66,out,T20I # 1842
Pakistan VS India,Pakistan,Inning1,9,Shaheen Shah Afridi,c & b Kumar,16,8,17,1,1,200.0,out,T20I # 1842
Pakistan VS India,Pakistan,Inning1,10,Haris Rauf,not out,6,4,3,0,1,150.0,not out,T20I # 1842
Pakistan VS India,India,Inning2,1,KL Rahul,b Naseem Shah,4,8,13,0,0,50.0,out,T20I # 1842
Pakistan VS India,India,Inning2,2,Rohit Sharma(c),c Iftikhar Ahmed b Haris Rauf,4,7,20,0,0,57.14,out,T20I # 1842
Pakistan VS India,India,Inning2,3,Virat Kohli,not out,82,53,98,6,4,154.71,not out,T20I # 1842
Pakistan VS India,India,Inning2,4,Suryakumar Yadav,c Mohammad Rizwan b Haris Rauf,15,10,11,2,0,150.0,out,T20I # 1842
Pakistan VS India,India,Inning2,5,Axar Patel,run out (Babar Azam/Mohammad Rizwan),2,3,7,0,0,66.66,out,T20I # 1842
Pakistan VS India,India,Inning2,6,Hardik Pandya,c Babar Azam b Mohammad Nawaz,40,37,61,1,2,108.1,out,T20I # 1842
Pakistan VS India,India,Inning2,7,Dinesh Karthik,st Mohammad Rizwan b Mohammad Nawaz,1,2,10,0,0,50.0,out,T20I # 1842
Pakistan VS India,India,Inning2,8,Ravichandran Ashwin,not out,1,1,2,0,0,100.0,not out,T20I # 1842
Bangladesh VS Netherlands,Bangladesh,Inning1,1,Najmul Hossain Shanto,c van Beek b Pringle,25,20,31,4,0,125.0,out,T20I # 1843
Bangladesh VS Netherlands,Bangladesh,Inning1,2,Soumya Sarkar,c de Leede b van Meekeren,14,14,24,2,0,100.0,out,T20I # 1843
Bangladesh VS Netherlands,Bangladesh,Inning1,3,Litton Das,c Cooper b van Beek,9,11,17,0,0,81.81,out,T20I # 1843
Bangladesh VS Netherlands,Bangladesh,Inning1,4,Shakib Al Hasan(c),c de Leede b Shariz Ahmad,7,9,14,0,0,77.77,out,T20I # 1843
Bangladesh VS Netherlands,Bangladesh,Inning1,5,Afif Hossain,c Edwards b de Leede,38,27,47,2,2,140.74,out,T20I # 1843
Bangladesh VS Netherlands,Bangladesh,Inning1,6,Yasir Ali,b van Meekeren,3,5,9,0,0,60.0,out,T20I # 1843
Bangladesh VS Netherlands,Bangladesh,Inning1,7,Nurul Hasan,c van Meekeren b de Leede,13,18,28,0,0,72.22,out,T20I # 1843
Bangladesh VS Netherlands,Bangladesh,Inning1,8,Mosaddek Hossain,not out,20,12,12,2,1,166.66,not out,T20I # 1843
Bangladesh VS Netherlands,Bangladesh,Inning1,9,Taskin Ahmed,c van Beek b Klaassen,0,1,3,0,0,0.0,out,T20I # 1843
Bangladesh VS Netherlands,Bangladesh,Inning1,10,Hasan Mahmud,not out,0,3,6,0,0,0.0,not out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,1,Vikramjit Singh,c Yasir Ali b Taskin Ahmed,0,1,4,0,0,0.0,out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,2,Max O'Dowd,run out (Afif Hossain/Shakib Al Hasan),8,8,21,0,1,100.0,out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,3,Bas de Leede,c Nurul Hasan b Taskin Ahmed,0,1,2,0,0,0.0,out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,4,Colin Ackermann,c Mosaddek Hossain b Taskin Ahmed,62,48,77,6,2,129.16,out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,5,Tom Cooper,run out (Najmul Hossain Shanto/Nurul Hasan),0,0,2,0,0,0.0,out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,6,Scott Edwards(c),c Hasan Mahmud b Shakib Al Hasan,16,24,33,1,0,66.66,out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,7,Tim Pringle,b Hasan Mahmud,1,6,5,0,0,16.66,out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,8,Logan van Beek,c Taskin Ahmed b Hasan Mahmud,2,5,9,0,0,40.0,out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,9,Shariz Ahmad,c Hasan Mahmud b Taskin Ahmed,9,8,9,1,0,112.5,out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,10,Fred Klaassen,not out,7,6,20,0,0,116.66,not out,T20I # 1843
Bangladesh VS Netherlands,Netherlands,Inning2,11,Paul van Meekeren,c Litton Das b Soumya Sarkar,24,14,16,3,1,171.42,out,T20I # 1843
Zimbabwe VS South Africa,Zimbabwe,Inning1,1,Regis Chakabva,c de Kock b Ngidi,8,8,13,0,1,100.0,out,T20I # 1844
Zimbabwe VS South Africa,Zimbabwe,Inning1,2,Craig Ervine(c),c Ngidi b Parnell,2,6,11,0,0,33.33,out,T20I # 1844
Zimbabwe VS South Africa,Zimbabwe,Inning1,3,Sean Williams,run out (Miller),1,1,10,0,0,100.0,out,T20I # 1844
Zimbabwe VS South Africa,Zimbabwe,Inning1,4,Sikandar Raza,c de Kock b Ngidi,0,2,3,0,0,0.0,out,T20I # 1844
Zimbabwe VS South Africa,Zimbabwe,Inning1,5,Wessly Madhevere,not out,35,18,37,4,1,194.44,not out,T20I # 1844
Zimbabwe VS South Africa,Zimbabwe,Inning1,6,Milton Shumba,c de Kock b Nortje,18,20,32,2,0,90.0,out,T20I # 1844
Zimbabwe VS South Africa,South Africa,Inning2,1,Quinton de Kock,not out,47,18,26,8,1,261.11,not out,T20I # 1844
Zimbabwe VS South Africa,South Africa,Inning2,2,Temba Bavuma(c),not out,2,2,26,0,0,100.0,not out,T20I # 1844
Sri Lanka VS Australia,Sri Lanka,Inning1,1,Pathum Nissanka,run out (Marsh/Wade),40,45,65,2,0,88.88,out,T20I # 1845
Sri Lanka VS Australia,Sri Lanka,Inning1,2,Kusal Mendis,c Marsh b Cummins,5,6,9,1,0,83.33,out,T20I # 1845
Sri Lanka VS Australia,Sri Lanka,Inning1,3,Dhananjaya de Silva,c Warner b Agar,26,23,47,3,0,113.04,out,T20I # 1845
Sri Lanka VS Australia,Sri Lanka,Inning1,4,Charith Asalanka,not out,38,25,45,3,2,152.0,not out,T20I # 1845
Sri Lanka VS Australia,Sri Lanka,Inning1,5,Bhanuka Rajapaksa,c Cummins b Starc,7,5,9,1,0,140.0,out,T20I # 1845
Sri Lanka VS Australia,Sri Lanka,Inning1,6,Dasun Shanaka(c),c Wade b Maxwell,3,5,6,0,0,60.0,out,T20I # 1845
Sri Lanka VS Australia,Sri Lanka,Inning1,7,Wanindu Hasaranga de Silva,c Wade b Hazlewood,1,4,8,0,0,25.0,out,T20I # 1845
Sri Lanka VS Australia,Sri Lanka,Inning1,8,Chamika Karunaratne,not out,14,7,16,2,0,200.0,not out,T20I # 1845
Sri Lanka VS Australia,Australia,Inning2,1,David Warner,c Shanaka b Theekshana,11,10,26,0,0,110.0,out,T20I # 1845
Sri Lanka VS Australia,Australia,Inning2,2,Aaron Finch(c),not out,31,42,89,0,1,73.8,not out,T20I # 1845
Sri Lanka VS Australia,Australia,Inning2,3,Mitchell Marsh,c Rajapaksa b DM de Silva,17,17,20,1,1,100.0,out,T20I # 1845
Sri Lanka VS Australia,Australia,Inning2,4,Glenn Maxwell,c sub (KNA Bandara) b Karunaratne,23,12,21,2,2,191.66,out,T20I # 1845
Sri Lanka VS Australia,Australia,Inning2,5,Marcus Stoinis,not out,59,18,22,4,6,327.77,not out,T20I # 1845
Ireland VS England,Ireland,Inning1,1,Paul Stirling,c Curran b Wood,14,8,16,1,1,175.0,out,T20I # 1846
Ireland VS England,Ireland,Inning1,2,Andy Balbirnie(c),c Hales b Livingstone,62,47,74,5,2,131.91,out,T20I # 1846
Ireland VS England,Ireland,Inning1,3,Lorcan Tucker,run out (Rashid),34,27,42,3,1,125.92,out,T20I # 1846
Ireland VS England,Ireland,Inning1,4,Harry Tector,c Buttler b Wood,0,2,3,0,0,0.0,out,T20I # 1846
Ireland VS England,Ireland,Inning1,5,Curtis Campher,c Buttler b Wood,18,11,22,3,0,163.63,out,T20I # 1846
Ireland VS England,Ireland,Inning1,6,George Dockrell,b Livingstone,0,1,2,0,0,0.0,out,T20I # 1846
Ireland VS England,Ireland,Inning1,7,Gareth Delany,not out,12,10,22,1,0,120.0,not out,T20I # 1846
Ireland VS England,Ireland,Inning1,8,Mark Adair,c Curran b Livingstone,4,4,8,0,0,100.0,out,T20I # 1846
Ireland VS England,Ireland,Inning1,9,Barry McCarthy,b Curran,3,3,4,0,0,100.0,out,T20I # 1846
Ireland VS England,Ireland,Inning1,10,Fionn Hand,b Curran,1,2,4,0,0,50.0,out,T20I # 1846
Ireland VS England,Ireland,Inning1,11,Josh Little,c Buttler b Stokes,0,1,3,0,0,0.0,out,T20I # 1846
Ireland VS England,England,Inning2,1,Jos Buttler(c),c Tucker b Little,0,2,3,0,0,0.0,out,T20I # 1846
Ireland VS England,England,Inning2,2,Alex Hales,c Adair b Little,7,5,14,1,0,140.0,out,T20I # 1846
Ireland VS England,England,Inning2,3,Dawid Malan,c Hand b McCarthy,35,37,66,2,0,94.59,out,T20I # 1846
Ireland VS England,England,Inning2,4,Ben Stokes,b Hand,6,8,14,0,0,75.0,out,T20I # 1846
Ireland VS England,England,Inning2,5,Harry Brook,c Delany b Dockrell,18,21,30,1,0,85.71,out,T20I # 1846
Ireland VS England,England,Inning2,6,Moeen Ali,not out,24,12,18,3,1,200.0,not out,T20I # 1846
Ireland VS England,England,Inning2,7,Liam Livingstone,not out,1,2,7,0,0,50.0,not out,T20I # 1846
South Africa VS Bangladesh,South Africa,Inning1,1,Temba Bavuma(c),c Nurul Hasan b Taskin Ahmed,2,6,6,0,0,33.33,out,T20I # 1847
South Africa VS Bangladesh,South Africa,Inning1,2,Quinton de Kock,c Soumya Sarkar b Afif Hossain,63,38,77,7,3,165.78,out,T20I # 1847
South Africa VS Bangladesh,South Africa,Inning1,3,Rilee Rossouw,c Litton Das b Shakib Al Hasan,109,56,90,7,8,194.64,out,T20I # 1847
South Africa VS Bangladesh,South Africa,Inning1,4,Tristan Stubbs,c Litton Das b Shakib Al Hasan,7,7,9,1,0,100.0,out,T20I # 1847
South Africa VS Bangladesh,South Africa,Inning1,5,Aiden Markram,c Soumya Sarkar b Hasan Mahmud,10,11,16,1,0,90.9,out,T20I # 1847
South Africa VS Bangladesh,South Africa,Inning1,6,David Miller,not out,2,4,8,0,0,50.0,not out,T20I # 1847
South Africa VS Bangladesh,South Africa,Inning1,7,Wayne Parnell,not out,0,2,2,0,0,0.0,not out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,1,Najmul Hossain Shanto,b Nortje,9,9,15,1,0,100.0,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,2,Soumya Sarkar,c de Kock b Nortje,15,6,11,0,2,250.0,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,3,Litton Das,c Stubbs b Shamsi,34,31,57,1,1,109.67,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,4,Shakib Al Hasan(c),lbw b Nortje,1,4,11,0,0,25.0,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,5,Afif Hossain,c Parnell b Rabada,1,5,8,0,0,20.0,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,6,Mehidy Hasan Miraz,c Markram b Shamsi,11,13,17,0,0,84.61,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,7,Mosaddek Hossain,st de Kock b Maharaj,0,3,4,0,0,0.0,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,8,Nurul Hasan,c Nortje b Shamsi,2,6,7,0,0,33.33,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,9,Taskin Ahmed,b Nortje,10,17,22,1,0,58.82,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,10,Hasan Mahmud,run out (Rabada),0,2,7,0,0,0.0,out,T20I # 1847
South Africa VS Bangladesh,Bangladesh,Inning2,11,Mustafizur Rahman,not out,9,3,8,0,1,300.0,not out,T20I # 1847
