match,bowlingTeam,bowler,over,maiden,runs,wicket,economy,0s,4s,6s,wide,NB
South Africa VS Bangladesh,Bangladesh,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1
South Africa VS Bangladesh,Bangladesh,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0
South Africa VS Bangladesh,South Africa,Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0
South Africa VS Bangladesh,South Africa,Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0
South Africa VS Bangladesh,South Africa,Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0
South Africa VS Bangladesh,South Africa,Keshav Maharaj,4,0,24,1,6.00,6,1,0,0,0
South Africa VS Bangladesh,South Africa,Tabraiz Shamsi,4,0,20,3,5.00,12,0,1,2,0
India VS Netherlands,Netherlands,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0
India VS Netherlands,Netherlands,Tim Pringle,4,0,30,0,7.50,6,3,0,0,0
India VS Netherlands,Netherlands,Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0
India VS Netherlands,Netherlands,Bas de Leede,3,0,33,0,11.00,6,5,1,1,0
India VS Netherlands,Netherlands,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0
India VS Netherlands,Netherlands,Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0
India VS Netherlands,India,Bhuvneshwar Kumar,3,2,9,2,3.00,14,1,0,0,0
India VS Netherlands,India,Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1
India VS Netherlands,India,Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0
India VS Netherlands,India,Axar Patel,4,0,18,2,4.50,11,0,0,0,0
India VS Netherlands,India,Hardik Pandya,1,0,9,0,9.00,1,0,0,1,0
India VS Netherlands,India,Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0
Zimbabwe VS Pakistan,Pakistan,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0
Zimbabwe VS Pakistan,Pakistan,Naseem Shah,4,0,34,0,8.50,7,4,0,2,0
Zimbabwe VS Pakistan,Pakistan,Mohammad Wasim,4,0,24,4,6.00,16,2,1,4,0
Zimbabwe VS Pakistan,Pakistan,Haris Rauf,4,1,12,1,3.00,15,0,0,0,0
Zimbabwe VS Pakistan,Pakistan,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0
Zimbabwe VS Pakistan,Zimbabwe,Richard Ngarava,4,0,24,0,6.00,15,2,1,2,0
Zimbabwe VS Pakistan,Zimbabwe,Blessing Muzarabani,4,0,18,1,4.50,11,1,0,0,0
Zimbabwe VS Pakistan,Zimbabwe,Brad Evans,4,0,25,2,6.25,12,2,1,0,0
Zimbabwe VS Pakistan,Zimbabwe,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0
Zimbabwe VS Pakistan,Zimbabwe,Luke Jongwe,1,0,10,1,10.00,2,2,0,0,0
Zimbabwe VS Pakistan,Zimbabwe,Sean Williams,2,0,15,0,7.50,1,0,0,1,0
Zimbabwe VS Pakistan,Zimbabwe,Ryan Burl,1,0,7,0,7.00,0,0,0,0,0
New Zealand VS Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0
New Zealand VS Sri Lanka,Sri Lanka,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2
New Zealand VS Sri Lanka,Sri Lanka,Dhananjaya de Silva,2,0,14,1,7.00,4,1,0,0,0
New Zealand VS Sri Lanka,Sri Lanka,Wanindu Hasaranga de Silva,4,0,22,1,5.50,9,1,0,0,0
New Zealand VS Sri Lanka,Sri Lanka,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1
New Zealand VS Sri Lanka,Sri Lanka,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0
New Zealand VS Sri Lanka,New Zealand,Tim Southee,4,1,12,1,3.00,18,0,1,1,0
New Zealand VS Sri Lanka,New Zealand,Trent Boult,4,0,13,4,3.25,18,1,0,1,0
New Zealand VS Sri Lanka,New Zealand,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0
New Zealand VS Sri Lanka,New Zealand,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0
New Zealand VS Sri Lanka,New Zealand,Ish Sodhi,3.2,0,21,2,6.30,11,2,1,1,0
Bangladesh VS Zimbabwe,Zimbabwe,Richard Ngarava,4,0,24,2,6.00,11,2,0,2,0
Bangladesh VS Zimbabwe,Zimbabwe,Blessing Muzarabani,2,0,13,2,6.50,8,3,0,0,0
Bangladesh VS Zimbabwe,Zimbabwe,Tendai Chatara,3,0,18,0,6.00,7,1,0,0,0
Bangladesh VS Zimbabwe,Zimbabwe,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0
Bangladesh VS Zimbabwe,Zimbabwe,Brad Evans,3,0,32,0,10.66,2,3,1,1,0
Bangladesh VS Zimbabwe,Zimbabwe,Wessly Madhevere,2,0,18,0,9.00,0,1,0,0,0
Bangladesh VS Zimbabwe,Zimbabwe,Sean Williams,2,0,10,1,5.00,4,0,0,1,0
Bangladesh VS Zimbabwe,Bangladesh,Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0
Bangladesh VS Zimbabwe,Bangladesh,Hasan Mahmud,4,0,36,0,9.00,8,5,0,3,0
Bangladesh VS Zimbabwe,Bangladesh,Mosaddek Hossain,4,0,34,2,8.50,11,3,2,0,1
Bangladesh VS Zimbabwe,Bangladesh,Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0
Bangladesh VS Zimbabwe,Bangladesh,Shakib Al Hasan,4,0,34,0,8.50,5,3,0,0,0
Netherlands VS Pakistan,Pakistan,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0
Netherlands VS Pakistan,Pakistan,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0
Netherlands VS Pakistan,Pakistan,Mohammad Wasim,3,0,15,2,5.00,10,1,0,1,0
Netherlands VS Pakistan,Pakistan,Haris Rauf,3,0,10,1,3.33,11,1,0,0,0
Netherlands VS Pakistan,Pakistan,Shadab Khan,4,0,22,3,5.50,11,2,0,0,0
Netherlands VS Pakistan,Pakistan,Mohammad Nawaz,2,0,11,0,5.50,3,0,0,0,0
Netherlands VS Pakistan,Netherlands,Fred Klaassen,3,0,26,0,8.66,4,3,0,0,0
Netherlands VS Pakistan,Netherlands,Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0
Netherlands VS Pakistan,Netherlands,Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0
Netherlands VS Pakistan,Netherlands,Tim Pringle,1,0,12,0,12.00,1,2,0,0,0
Netherlands VS Pakistan,Netherlands,Logan van Beek,2,0,9,0,4.50,5,0,0,0,0
Netherlands VS Pakistan,Netherlands,Roelof van der Merwe,1,0,7,0,7.00,1,0,0,0,0
India VS South Africa,South Africa,Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0
India VS South Africa,South Africa,Kagiso Rabada,4,0,26,0,6.50,13,2,1,1,0
India VS South Africa,South Africa,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0
India VS South Africa,South Africa,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0
India VS South Africa,South Africa,Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0
India VS South Africa,South Africa,Aiden Markram,1,0,5,0,5.00,1,0,0,0,0
India VS South Africa,India,Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0
India VS South Africa,India,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0
India VS South Africa,India,Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0
India VS South Africa,India,Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0
India VS South Africa,India,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0
Australia VS Ireland,Ireland,Josh Little,4,0,21,2,5.25,13,2,0,2,0
Australia VS Ireland,Ireland,Mark Adair,4,0,59,0,14.75,6,7,2,6,0
Australia VS Ireland,Ireland,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0
Australia VS Ireland,Ireland,Gareth Delany,3,0,29,0,9.66,10,2,2,2,0
Australia VS Ireland,Ireland,Fionn Hand,1,0,15,0,15.00,2,0,2,1,0
Australia VS Ireland,Ireland,George Dockrell,4,0,24,0,6.00,8,0,1,0,0
Australia VS Ireland,Australia,Josh Hazlewood,3,0,24,0,8.00,8,1,2,1,0
Australia VS Ireland,Australia,Pat Cummins,4,0,28,2,7.00,14,3,1,1,0
Australia VS Ireland,Australia,Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0
Australia VS Ireland,Australia,Mitchell Starc,4,1,43,2,10.75,11,8,0,2,1
Australia VS Ireland,Australia,Adam Zampa,4,0,19,2,4.75,9,1,0,0,0
Australia VS Ireland,Australia,Marcus Stoinis,1,0,6,1,6.00,2,0,0,0,0
Afghanistan VS Sri Lanka,Sri Lanka,Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1
Afghanistan VS Sri Lanka,Sri Lanka,Pramod Madushan,3,0,24,0,8.00,7,2,1,0,0
Afghanistan VS Sri Lanka,Sri Lanka,Lahiru Kumara,4,0,30,2,7.50,12,2,1,4,0
Afghanistan VS Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0
Afghanistan VS Sri Lanka,Sri Lanka,Wanindu Hasaranga de Silva,4,0,13,3,3.25,12,0,0,0,0
Afghanistan VS Sri Lanka,Sri Lanka,Dhananjaya de Silva,1,0,9,1,9.00,1,1,0,0,0
Afghanistan VS Sri Lanka,Afghanistan,Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0
Afghanistan VS Sri Lanka,Afghanistan,Mujeeb Ur Rahman,4,0,24,2,6.00,12,3,0,0,0
Afghanistan VS Sri Lanka,Afghanistan,Fareed Ahmad,2,0,25,0,12.50,3,3,1,1,0
Afghanistan VS Sri Lanka,Afghanistan,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0
Afghanistan VS Sri Lanka,Afghanistan,Azmatullah Omarzai,2,0,17,0,8.50,2,1,0,1,0
Afghanistan VS Sri Lanka,Afghanistan,Mohammad Nabi,2,0,16,0,8.00,2,0,1,0,0
Afghanistan VS Sri Lanka,Afghanistan,Gulbadin Naib,1,0,12,0,12.00,1,2,0,0,0
England VS New Zealand,New Zealand,Trent Boult,4,0,40,0,10.00,8,4,1,1,0
England VS New Zealand,New Zealand,Tim Southee,4,0,43,1,10.75,9,3,3,0,0
England VS New Zealand,New Zealand,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0
England VS New Zealand,New Zealand,Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1
England VS New Zealand,New Zealand,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0
England VS New Zealand,England,Moeen Ali,1,0,4,0,4.00,3,0,0,0,0
England VS New Zealand,England,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0
England VS New Zealand,England,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0
England VS New Zealand,England,Sam Curran,4,0,26,2,6.50,9,0,0,2,0
England VS New Zealand,England,Mark Wood,3,0,25,1,8.33,8,2,1,1,0
England VS New Zealand,England,Liam Livingstone,3,0,26,0,8.66,4,3,0,0,0
England VS New Zealand,England,Ben Stokes,1,0,10,1,10.00,2,2,0,0,0
Zimbabwe VS Netherlands,Netherlands,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0
Zimbabwe VS Netherlands,Netherlands,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0
Zimbabwe VS Netherlands,Netherlands,Brandon Glover,4,1,29,2,7.25,15,2,2,2,0
Zimbabwe VS Netherlands,Netherlands,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0
Zimbabwe VS Netherlands,Netherlands,Bas de Leede,4,0,14,2,3.50,11,0,0,0,0
Zimbabwe VS Netherlands,Netherlands,Roelof van der Merwe,1,0,8,0,8.00,2,1,0,0,0
Zimbabwe VS Netherlands,Zimbabwe,Tendai Chatara,4,0,22,0,5.50,14,4,0,0,0
Zimbabwe VS Netherlands,Zimbabwe,Richard Ngarava,4,0,18,2,4.50,15,1,1,0,0
Zimbabwe VS Netherlands,Zimbabwe,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0
Zimbabwe VS Netherlands,Zimbabwe,Sean Williams,3,0,21,0,7.00,8,2,1,0,0
Zimbabwe VS Netherlands,Zimbabwe,Sikandar Raza,1,0,6,0,6.00,0,0,0,0,0
Zimbabwe VS Netherlands,Zimbabwe,Luke Jongwe,2,0,25,1,12.50,3,4,0,3,1
India VS Bangladesh,Bangladesh,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0
India VS Bangladesh,Bangladesh,Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2
India VS Bangladesh,Bangladesh,Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1
India VS Bangladesh,Bangladesh,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0
India VS Bangladesh,Bangladesh,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0
India VS Bangladesh,India,Bhuvneshwar Kumar,3,0,27,0,9.00,7,2,2,0,0
India VS Bangladesh,India,Arshdeep Singh,4,0,38,2,9.50,10,5,1,0,0
India VS Bangladesh,India,Mohammed Shami,3,0,25,1,8.33,7,2,1,0,0
India VS Bangladesh,India,Axar Patel,1,0,6,0,6.00,2,0,0,0,0
India VS Bangladesh,India,Ravichandran Ashwin,2,0,19,0,9.50,4,3,0,1,0
India VS Bangladesh,India,Hardik Pandya,3,0,28,2,9.33,8,1,3,0,0
Pakistan VS South Africa,South Africa,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0
Pakistan VS South Africa,South Africa,Kagiso Rabada,4,0,44,1,11.00,7,4,2,0,0
Pakistan VS South Africa,South Africa,Lungi Ngidi,4,0,32,1,8.00,11,3,1,2,0
Pakistan VS South Africa,South Africa,Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1
Pakistan VS South Africa,South Africa,Tabraiz Shamsi,4,0,36,1,9.00,8,2,2,2,0
Pakistan VS South Africa,Pakistan,Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,0,0
Pakistan VS South Africa,Pakistan,Naseem Shah,3,0,19,1,6.33,10,1,1,1,0
Pakistan VS South Africa,Pakistan,Haris Rauf,3,0,44,1,14.66,2,7,1,1,0
Pakistan VS South Africa,Pakistan,Mohammad Wasim,2,0,13,1,6.50,3,1,0,0,0
Pakistan VS South Africa,Pakistan,Shadab Khan,2,0,16,2,8.00,5,1,1,0,0
Pakistan VS South Africa,Pakistan,Mohammad Nawaz,1,0,2,0,2.00,4,0,0,0,0
New Zealand VS Ireland,Ireland,Josh Little,4,0,22,3,5.50,10,2,0,1,0
New Zealand VS Ireland,Ireland,Mark Adair,4,0,39,1,9.75,9,3,1,3,0
New Zealand VS Ireland,Ireland,Barry McCarthy,4,0,46,0,11.50,4,4,2,0,0
New Zealand VS Ireland,Ireland,Gareth Delany,4,0,30,2,7.50,11,3,1,1,0
New Zealand VS Ireland,Ireland,Fionn Hand,2,0,22,0,11.00,2,2,1,0,0
New Zealand VS Ireland,Ireland,George Dockrell,2,0,18,0,9.00,4,2,0,2,0
New Zealand VS Ireland,New Zealand,Trent Boult,4,0,38,0,9.50,8,4,1,0,0
New Zealand VS Ireland,New Zealand,Tim Southee,4,0,29,2,7.25,8,2,1,0,0
New Zealand VS Ireland,New Zealand,Lockie Ferguson,4,0,22,3,5.50,10,1,0,0,0
New Zealand VS Ireland,New Zealand,Mitchell Santner,4,0,26,2,6.50,12,3,1,0,0
New Zealand VS Ireland,New Zealand,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0
Australia VS Afghanistan,Afghanistan,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0
Australia VS Afghanistan,Afghanistan,Mujeeb Ur Rahman,4,0,42,1,10.50,5,4,1,1,0
Australia VS Afghanistan,Afghanistan,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0
Australia VS Afghanistan,Afghanistan,Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0
Australia VS Afghanistan,Afghanistan,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0
Australia VS Afghanistan,Afghanistan,Mohammad Nabi,1,0,14,0,14.00,1,1,1,0,0
Australia VS Afghanistan,Australia,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0
Australia VS Afghanistan,Australia,Pat Cummins,4,0,22,0,5.50,12,2,0,0,0
Australia VS Afghanistan,Australia,Marcus Stoinis,2,0,26,0,13.00,2,2,1,2,0
Australia VS Afghanistan,Australia,Kane Richardson,4,0,48,1,12.00,4,3,3,1,0
Australia VS Afghanistan,Australia,Adam Zampa,4,0,22,2,5.50,11,1,0,0,0
Australia VS Afghanistan,Australia,Cameron Green,2,0,13,0,6.50,7,1,1,0,0
Sri Lanka VS England,England,Ben Stokes,3,0,24,1,8.00,8,1,2,0,0
Sri Lanka VS England,England,Chris Woakes,3,0,24,1,8.00,5,3,0,1,0
Sri Lanka VS England,England,Mark Wood,3,0,26,3,8.66,8,1,2,1,0
Sri Lanka VS England,England,Sam Curran,4,0,27,1,6.75,10,2,1,0,0
Sri Lanka VS England,England,Adil Rashid,4,0,16,1,4.00,11,0,0,0,0
Sri Lanka VS England,England,Liam Livingstone,2,0,16,0,8.00,2,0,1,0,0
Sri Lanka VS England,England,Moeen Ali,1,0,5,0,5.00,1,0,0,0,0
Sri Lanka VS England,Sri Lanka,Maheesh Theekshana,4,0,22,0,5.50,11,1,0,1,0
Sri Lanka VS England,Sri Lanka,Kasun Rajitha,3,0,40,0,13.33,4,5,1,2,0
Sri Lanka VS England,Sri Lanka,Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,0,1
Sri Lanka VS England,Sri Lanka,Wanindu Hasaranga de Silva,4,0,23,2,5.75,11,1,1,0,0
Sri Lanka VS England,Sri Lanka,Dhananjaya de Silva,4,0,24,2,6.00,7,1,0,0,0
Sri Lanka VS England,Sri Lanka,Charith Asalanka,1,0,8,0,8.00,1,1,0,0,0
Netherlands VS South Africa,South Africa,Wayne Parnell,4,0,32,0,8.00,10,2,2,1,0
Netherlands VS South Africa,South Africa,Kagiso Rabada,3,0,37,0,12.33,6,7,0,0,0
Netherlands VS South Africa,South Africa,Lungi Ngidi,3,0,35,0,11.66,3,5,0,0,0
Netherlands VS South Africa,South Africa,Anrich Nortje,4,0,10,1,2.50,14,0,0,0,0
Netherlands VS South Africa,South Africa,Keshav Maharaj,4,0,27,2,6.75,12,1,2,0,0
Netherlands VS South Africa,South Africa,Aiden Markram,2,0,16,1,8.00,3,0,1,1,0
Netherlands VS South Africa,Netherlands,Fred Klaassen,4,0,20,2,5.00,15,3,0,0,0
Netherlands VS South Africa,Netherlands,Paul van Meekeren,3,0,33,1,11.00,5,1,2,1,1
Netherlands VS South Africa,Netherlands,Colin Ackermann,3,0,16,0,5.33,6,1,0,0,0
Netherlands VS South Africa,Netherlands,Roelof van der Merwe,2,0,19,0,9.50,2,2,0,0,0
Netherlands VS South Africa,Netherlands,Brandon Glover,2,0,9,3,4.50,5,0,0,1,0
Netherlands VS South Africa,Netherlands,Logan van Beek,3,0,23,0,7.66,4,1,1,0,0
Netherlands VS South Africa,Netherlands,Bas de Leede,3,0,25,2,8.33,4,1,0,1,2
Bangladesh VS Pakistan,Pakistan,Shaheen Shah Afridi,4,0,22,4,5.50,13,2,1,0,0
Bangladesh VS Pakistan,Pakistan,Naseem Shah,3,0,15,0,5.00,9,2,0,0,0
Bangladesh VS Pakistan,Pakistan,Mohammad Wasim,2,0,19,0,9.50,5,1,1,1,0
Bangladesh VS Pakistan,Pakistan,Haris Rauf,4,0,21,1,5.25,11,2,0,0,0
Bangladesh VS Pakistan,Pakistan,Shadab Khan,4,0,30,2,7.50,8,3,0,0,0
Bangladesh VS Pakistan,Pakistan,Iftikhar Ahmed,3,0,15,1,5.00,9,2,0,0,0
Bangladesh VS Pakistan,Bangladesh,Taskin Ahmed,3,0,26,0,8.66,10,1,2,0,1
Bangladesh VS Pakistan,Bangladesh,Nasum Ahmed,4,0,14,1,3.50,13,0,0,2,0
Bangladesh VS Pakistan,Bangladesh,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0
Bangladesh VS Pakistan,Bangladesh,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0
Bangladesh VS Pakistan,Bangladesh,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1
India VS Zimbabwe,Zimbabwe,Richard Ngarava,4,1,44,1,11.00,12,2,4,1,1
India VS Zimbabwe,Zimbabwe,Tendai Chatara,4,0,34,0,8.50,5,3,1,0,0
India VS Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,50,1,12.50,5,8,0,1,0
India VS Zimbabwe,Zimbabwe,Wellington Masakadza,2,0,12,0,6.00,5,1,0,1,0
India VS Zimbabwe,Zimbabwe,Ryan Burl,1,0,14,0,14.00,1,1,1,0,0
India VS Zimbabwe,Zimbabwe,Sikandar Raza,3,0,18,1,6.00,5,0,1,0,0
India VS Zimbabwe,Zimbabwe,Sean Williams,2,0,9,2,4.50,6,0,0,2,0
India VS Zimbabwe,India,Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,1,0
India VS Zimbabwe,India,Arshdeep Singh,2,0,9,1,4.50,9,1,0,2,0
India VS Zimbabwe,India,Mohammed Shami,2,0,14,2,7.00,7,1,1,0,0
India VS Zimbabwe,India,Hardik Pandya,3,0,16,2,5.33,10,1,0,2,1
India VS Zimbabwe,India,Ravichandran Ashwin,4,0,22,3,5.50,13,3,0,1,0
India VS Zimbabwe,India,Axar Patel,3.2,0,40,1,12.00,4,5,1,0,0
New Zealand VS Pakistan,Pakistan,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0
New Zealand VS Pakistan,Pakistan,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0
New Zealand VS Pakistan,Pakistan,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0
New Zealand VS Pakistan,Pakistan,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0
New Zealand VS Pakistan,Pakistan,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0
New Zealand VS Pakistan,Pakistan,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0
New Zealand VS Pakistan,New Zealand,Trent Boult,4,0,33,2,8.25,9,5,0,0,0
New Zealand VS Pakistan,New Zealand,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0
New Zealand VS Pakistan,New Zealand,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0
New Zealand VS Pakistan,New Zealand,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0
New Zealand VS Pakistan,New Zealand,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0
India VS England,England,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0
India VS England,England,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0
India VS England,England,Sam Curran,4,0,42,0,10.50,9,5,2,0,0
India VS England,England,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0
India VS England,England,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0
India VS England,England,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0
India VS England,India,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0
India VS England,India,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0
India VS England,India,Axar Patel,4,0,30,0,7.50,10,2,2,0,0
India VS England,India,Mohammed Shami,3,0,39,0,13.00,7,4,3,0,0
India VS England,India,Ravichandran Ashwin,2,0,27,0,13.50,1,1,2,1,0
India VS England,India,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0
Pakistan VS England,England,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1
Pakistan VS England,England,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0
Pakistan VS England,England,Sam Curran,4,0,12,3,3.00,15,0,0,0,0
Pakistan VS England,England,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0
Pakistan VS England,England,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0
Pakistan VS England,England,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0
Pakistan VS England,Pakistan,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0
Pakistan VS England,Pakistan,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0
Pakistan VS England,Pakistan,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0
Pakistan VS England,Pakistan,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0
Pakistan VS England,Pakistan,Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0
Pakistan VS England,Pakistan,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0
